File,Vf (V),Vp (V),Te (eV),ne (m⁻³),ni (m⁻³),n (m⁻³),λD (m),rp/λD,Sheath,Converged
Kr_15sccm_10A.csv,9.87068170534595,17.413935,2.919226624530156,2.442301068389527e+16,1.4794430079237852e+18,7.519330093038403e+17,8.127434422551307e-05,0.6250434929261874,oml,True
Kr_15sccm_10A2.csv,10.527598635880038,17.240328,2.752405289477719,2.5530817816713264e+16,1.690379552034033e+18,8.57955184925373e+17,7.718679294395132e-05,0.6581436805761328,oml,True
Kr_15sccm_11A.csv,11.314291432561918,15.053797,1.3654936340009376,3.441936775928697e+16,1.37077028981632e+18,7.025948287878035e+17,4.6823358772547866e-05,1.0849285769260877,oml,True
Kr_15sccm_12A.csv,9.760447463777329,13.894288,1.4467968866199867,3.779693921069652e+16,8.815643491893217e+17,4.5968064420000915e+17,4.5993306736891066e-05,1.1045085383968165,oml,True
Kr_15sccm_12p5A.csv,9.589266975476715,15.57233,1.6954303523312533,5.210693084528608e+16,8.460827415753047e+17,4.490948362102954e+17,4.240444644560705e-05,1.1979875757878855,oml,True
Kr_15sccm_13A.csv,9.875105614095355,14.40087,1.5437808008261378,3.4938419193404744e+16,8.716386703544854e+17,4.532885447739451e+17,4.941517756164328e-05,1.0280242327699667,oml,True
Kr_15sccm_14A.csv,9.832523953600974,15.575205,1.6449813712495853,5.408156359794884e+16,8.828417320963677e+17,4.684616478471583e+17,4.0999167699006976e-05,1.2390495429796349,oml,True
Kr_15sccm_15A.csv,9.935061063208734,13.86619,1.5376770633955228,3.2571357215755572e+16,1.1295199094521885e+18,5.810456333339721e+17,5.1077991140609194e-05,0.9945575161747467,oml,True
Kr_15sccm_16A.csv,10.157296782521142,14.145998,1.5097654925061499,3.089252114011198e+16,1.3707315799817736e+18,7.008120505609427e+17,5.196934452484674e-05,0.977499340514336,oml,True
Kr_15sccm_17A.csv,10.18510830753952,13.891373,1.581704543269876,2.6624604062397136e+16,1.5402305695534262e+18,7.834275868079117e+17,5.729810647197375e-05,0.8865912527990403,oml,True
Kr_15sccm_17p5A.csv,10.268570749280766,13.910479,1.549357828203566,2.7023691172270376e+16,1.7026642619087393e+18,8.648439765405048e+17,5.6288891855469996e-05,0.9024871218008069,oml,True
Kr_15sccm_18A.csv,9.91245285055168,15.574154,1.8419962470140205,4.326273502130387e+16,1.1878584567807583e+18,6.15560595901031e+17,4.8507238688896896e-05,1.0472663745262396,oml,True
Kr_15sccm_19A.csv,9.922878430330167,16.410975,2.010357821843223,5.183320509300675e+16,1.2804442895589972e+18,6.66138747326002e+17,4.629688997756447e-05,1.0972659291934674,oml,True
Kr_15sccm_20A.csv,10.063235863265488,15.91144,1.9154832558995303,4.79547600508208e+16,1.281177385150433e+18,6.64566072600627e+17,4.6983188523681564e-05,1.0812378128486235,oml,True
Kr_15sccm_21A.csv,10.255808795651422,16.579248,2.058523134709974,5.2767240701101736e+16,1.4424788786834647e+18,7.476230596922833e+17,4.643172855371147e-05,1.0940794491688024,oml,True
Kr_15sccm_22A.csv,10.301417958119565,16.579355,2.1102050692687615,5.299828047049033e+16,1.5710309632617994e+18,8.120146218661449e+17,4.690839888354076e-05,1.0829617128079962,oml,True
Kr_15sccm_22p5A.csv,10.549716207847116,16.409765,2.025202896493426,5.169706589558881e+16,1.676327079316747e+18,8.640120726061679e+17,4.652865412731441e-05,1.0918003314903133,oml,True
Kr_15sccm_23A.csv,10.458458258826758,16.579231,2.138810867447732,5.094236600564144e+16,1.6809081523065766e+18,8.65925259156109e+17,4.816879734911786e-05,1.0546246283005927,oml,True
Kr_15sccm_24A.csv,11.90617380918445,18.252413,2.3231199662828623,4.818807955106084e+16,1.9346004267240246e+18,9.913942531375427e+17,5.161609885524163e-05,0.9841890636188839,oml,True
Kr_15sccm_25A.csv,11.267419204331548,17.918736,2.4883092543142205,4.429908321119524e+16,2.0010153745830828e+18,1.022657228897139e+18,5.57152362306007e-05,0.9117793163389464,oml,True
Kr_15sccm_27p5A.csv,11.094745549484534,16.916073,2.2547488784711467,5.48334292790285e+16,2.2649154709757396e+18,1.159874450127384e+18,4.767004414676679e-05,1.0656587571766598,oml,True
Kr_15sccm_27p5A2.csv,11.270112423713709,17.753763,2.550177351292784,4.5791956026676456e+16,3.124963548038303e+18,1.5853777520324897e+18,5.5476590569145326e-05,0.9157015504888232,oml,True
Kr_15sccm_30A.csv,11.165884604474979,17.41618,2.5499385030244945,4.763038471063175e+16,4.102458038333729e+18,2.0750442115221804e+18,5.439287026233025e-05,0.9339459336305977,oml,True
Zn_15sccm_15A.csv,6.345242047143454,15.071524,3.9630814452399243,2.2298208498339336e+16,2.422660715085242e+18,1.2224794617917906e+18,9.910616724227665e-05,0.5125816224515417,oml,True
Zn_15sccm_15A2.csv,6.457817245887588,12.892017,3.1939518039658417,2.226361987246633e+16,2.327715259610351e+18,1.1749894397414088e+18,8.90400629075594e-05,0.5705296957476333,oml,True
Zn_15sccm_15A3.csv,6.809691803018212,11.057453,1.2717454687597258,1.1188259209241296e+17,1.2319403309871468e+18,6.719114615397798e+17,2.506328587554973e-05,2.026869112543519,oml,True
Zn_15sccm_15A4.csv,6.454835556424977,10.388767,1.0972738438493235,1.4860310166673088e+17,1.3521876991405596e+18,7.503954004036452e+17,2.020052908227728e-05,2.5147856174009244,oml,True
