parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,9.589266975476715,9.589266975476715,0.0,9.589266975476715,9.589266975476715,9.589266975476715,9.589266975476715
Vp,15.368587548631766,15.39831225352942,0.39023397553112626,14.949953603050407,15.80918058034401,14.568990637849998,15.863766348910072
Ie_sat,0.0014295838277219447,0.001419024540665885,0.0001723845196978023,0.0012276247452461346,0.0015851636023520195,0.0010134001112536996,0.0016068272764862925
ne,8445034590761707.0,8408787267534946.0,1038379337107150.8,7439157603270797.0,9227186937215572.0,6677981650226169.0,1.0418854942346012e+16
ni,8445034590761707.0,8408787267534946.0,1038379337107150.8,7439157603270797.0,9227186937215572.0,6677981650226169.0,1.0418854942346012e+16
Te,2.106781861312077,2.1039512779783456,0.2498504214358403,1.9472811775165453,2.270649530121471,1.5326285565399649,2.4897016534913505
p,1.63272324082961,1.5500413126128403,0.31853452967757734,1.2052709683387308,1.8738537891185008,1.0835622700371903,1.924775043637274
log10_sigma_I,-3.892169082802936,-3.892613616130423,0.045631593484647966,-3.9411102848242128,-3.837071595201431,-3.9927547378917834,-3.8289980710426867
sigma_I,0.00012818314332154745,0.00012873548289732086,1.3322958077540784e-05,0.00011452274525845728,0.00014552191620436313,0.00010168227680664325,0.00014825246698956394
