comparison,candidate_model,reference_model,log_bayes_factor,log10_bayes_factor,bayes_factor
oml_vs_linear,oml,linear,-95.73333839702798,-41.576460600005944,2.6517916575125315e-42
transitional_vs_linear,transitional,linear,-118.26113961839894,-51.36016035986069,4.3635468191671114e-52
