parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,10.549716207847116,10.549716207847116,0.0,10.549716207847116,10.549716207847116,10.549716207847116,10.549716207847116
Vp,16.477734608758965,16.476013359134644,0.025024508723941304,16.448551555019083,16.497704977260117,16.426818360004336,16.524529501026095
Ie_sat,0.0016364495705194814,0.0016357037951189968,1.0842508112626265e-05,0.0016238052664727396,0.001645102243180293,0.0016143888041613241,0.0016567246538241312
ne,8177009113677296.0,8183533527914694.0,88535381822894.33,8086932008454653.0,8257749131252093.0,8044746672439753.0,8347138274625086.0
ni,,,,,,,
Te,2.7641371828118446,2.761777309464013,0.028773628332532983,2.7238388152785014,2.7923082506004944,2.7133872754118715,2.8045972831898567
p,1.4643946736781885,1.4562964148073183,0.09242084763446763,1.3346131936766927,1.529787506377334,1.3059961559507278,1.632839574052775
I1,-1.1420904464688091e-05,-1.1499597929830705e-05,4.806164291699547e-07,-1.2083464744776635e-05,-1.1029184169836776e-05,-1.2375879496958886e-05,-1.073286070091206e-05
I2,-9.623228925120797e-05,-9.600532793377124e-05,9.617791812263753e-06,-0.00010521416175486498,-8.639510735464553e-05,-0.00011323162279705534,-7.886451827440973e-05
log10_sigma_I,-4.946378098130557,-4.938366116752652,0.03650217448950183,-4.972348843563532,-4.887535933678741,-4.985161012641787,-4.873100435883312
sigma_I,1.1314149209740392e-05,1.156512830911326e-05,9.928747819772816e-07,1.0657397304307632e-05,1.2955973422010922e-05,1.0349252515076717e-05,1.3393901138690539e-05
