,Value,Uncertainty,Unit
Vf,6.454835556424977,0.16547000000000267,V
Vp,10.388767,0.33094000000000534,V
Te,1.0999638077441616,0.05,eV
n,1.1190766269498566e+18,1.1565488988255665e+18,m-3
ne,3.012730578164644e+17,9.09006154928101e+16,m-3
ni,1.936880196083249e+18,2.47594257871827e+16,m-3
Ie_sat,0.003450595211141631,0.0010381614114351218,A
Ii_sat,-0.00038733673600301494,2.5010756322260425e-05,A
