comparison,candidate_model,reference_model,log_bayes_factor,log10_bayes_factor,bayes_factor
oml_vs_linear,oml,linear,-115.74731723870616,-50.26842117187522,5.389876673194258e-51
transitional_vs_linear,transitional,linear,-139.34429977913612,-60.51646047875133,3.0446650450957992e-61
