parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,9.760447463777329,9.760447463777329,0.0,9.760447463777329,9.760447463777329,9.760447463777329,9.760447463777329
Vp,15.389550226372744,15.410193238003808,0.3974705621786351,15.013140428357158,15.842036712546452,14.66015534143849,15.88554696683968
Ie_sat,0.0015786024803760561,0.001582303131627653,0.00017784073085156025,0.0014098841425017616,0.0017721979931562006,0.00122799915686833,0.0017918585182104918
ne,9835352535715568.0,9605179561535612.0,1132805393138157.2,8184033552462696.0,1.0519383046029884e+16,7849576251680294.0,1.1384716232577696e+16
ni,9835352535715568.0,9605179561535612.0,1132805393138157.2,8184033552462696.0,1.0519383046029884e+16,7849576251680294.0,1.1384716232577696e+16
Te,2.031210304431867,2.048357247119017,0.25055538063451605,1.762582280103948,2.3406856009182655,1.5469786101562575,2.4437695568086006
p,1.7254116418636456,1.6670896043953736,0.25614650967042063,1.2690185621789443,1.912271634934488,1.15061812105998,1.9458255710631045
log10_sigma_I,-3.883565879217433,-3.8821191454491952,0.03639597366510495,-3.9214317939738574,-3.846981207086517,-3.9462560096408463,-3.8186603715048677
sigma_I,0.00013075089705341636,0.00013163438958923015,1.1059782595949174e-05,0.00011983173620806242,0.0001422390335867487,0.00011317330280704736,0.0001518301608452082
