parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,10.549716207847116,10.549716207847116,0.0560453333333335,10.493670874513782,10.60576154118045,10.437625541180449,10.661806874513783
Vp,17.415123,17.415123,0.0560453333333335,17.359077666666668,17.471168333333335,17.303032333333334,17.52721366666667
Te,1.600781789905551,1.600781789905551,0.004108891470042338,1.5966728984355087,1.6048906813755932,1.5925640069654663,1.6089995728456357
n,8.863745017475035e+16,8.863745017475035e+16,1.03989290246067e+17,-1.5351840071316656e+16,1.9262674042081734e+17,-1.1934113031738366e+17,2.9661603066688435e+17
ne,1.4706306460754016e+17,1.4706306460754016e+17,3024785828039850.0,1.440382787795003e+17,1.5008785043558e+17,1.4101349295146046e+17,1.5311263626361987e+17
ni,3.927291113390184e-11,3.927291113390184e-11,0.0,3.927291113390184e-11,3.927291113390184e-11,3.927291113390184e-11,3.927291113390184e-11
Ie_sat,0.002032,0.002032,4.171263283963417e-05,0.001990287367160366,0.002073712632839634,0.0019485747343207316,0.0021154252656792683
Ii_sat,-0.0005813594231127268,-0.0005813594231127268,0.0001665616330649302,-0.000747921056177657,-0.00041479779004779656,-0.0009144826892425871,-0.00024823615698286636
