metric,bayes_median,bayes_q16,bayes_q84,legacy_value,legacy_std,delta
Vp,16.776856408709044,16.70264259656896,17.111188227481108,16.514305,0.801994801110955,0.2625514087090437
Te,2.6353520785537694,2.597249491567485,2.71874375850017,1.1669223296804327,0.17436901721642462,1.4684297488733367
ne,8.732568631099971e+16,8.622568299083442e+16,9.587291231636533e+16,1.1871215213287949e+17,5.050304050894603e+16,-3.1386465821879776e+16
n_qn,8.732568631099971e+16,8.622568299083442e+16,9.587291231636533e+16,6.3272934097231304e+16,8.394216778240816e+16,2.405275221376841e+16
p,2.939946876919154,2.8698546635350204,2.9869383578870474,,,
