parameter,median,mean,std,q16,q84,q2.25,q97.75
Vp,19.03346247258016,19.114118536235548,0.27065864241048615,18.916866086877988,19.238848061783266,18.829668107299625,19.79707262346953
ne,5.685417877220194e+16,5.748384770906991e+16,2165071443356017.5,5.575682644263029e+16,5.860527483944477e+16,5.484808850274522e+16,6.362064446013906e+16
Te,5.220824757960454,5.230862806081004,0.11181300114140211,5.16603451752155,5.323223099489918,5.038964947926749,5.46549923013481
p,2.9650650211336878,2.9424094318516465,0.05264404523759579,2.8902897452162284,2.9848741748297245,2.789814842874243,2.9927764679011264
I1,-9.696274107896872e-06,-9.67308732856867e-06,5.667909837823294e-07,-1.018400663728053e-05,-9.190402015504231e-06,-1.0858025491162929e-05,-8.535028176418876e-06
I2,-0.00010379342425321722,-0.0001062305599315298,1.1342670076543591e-05,-0.00011687916085037302,-9.62954157575583e-05,-0.00012936174302646998,-8.388776402868878e-05
log10_sigma_I,-4.725879154503872,-4.726585624948905,0.02792109782119069,-4.753735411869659,-4.7027163501623015,-4.778461824633085,-4.664824154891363
sigma_I,1.8798486762469e-05,1.880649822918828e-05,1.2250767463557429e-06,1.763049833918834e-05,1.982821639094309e-05,1.6654802815283232e-05,2.163640402473537e-05
n_qn,5.685417877220194e+16,5.748384770906991e+16,2165071443356017.5,5.575682644263029e+16,5.860527483944477e+16,5.484808850274522e+16,6.362064446013906e+16
