parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,10.527598635880038,10.527598635880038,0.16584800000000044,10.361750635880037,10.693446635880038,10.195902635880037,10.859294635880039
Vp,17.240328,17.240328,0.24629518877120782,16.994032811228795,17.48662318877121,16.747737622457585,17.73291837754242
Te,3.1331775204740313,3.1331775204740313,0.08034505470614185,3.0528324657678896,3.213522575180173,2.9724874110617474,3.293867629886315
n,1.3948978969073004e+18,1.3948978969073004e+18,1.9039913088620964e+18,-5.09093411954796e+17,3.2988892057693967e+18,-2.4130847208168924e+18,5.202880514631494e+18
ne,4.857273109066173e+16,4.857273109066173e+16,3868698803831891.5,4.470403228682984e+16,5.244142989449362e+16,4.0835333482997944e+16,5.631012869832551e+16
ni,2.741223062723939e+18,2.741223062723939e+18,5590375721601233.0,2.735632687002338e+18,2.74681343844554e+18,2.730042311280736e+18,2.7524038141671414e+18
Ie_sat,0.0009389220668472469,0.0009389220668472469,7.380749612317155e-05,0.0008651145707240754,0.0010127295629704185,0.0007913070746009038,0.00108653705909359
Ii_sat,-0.000534453923871462,-0.000534453923871462,3.474616530025378e-05,-0.0005692000891717158,-0.0004997077585712083,-0.0006039462544719696,-0.00046496159327095445
