,Value,Uncertainty,Unit
Vf,10.527598635880038,0.16584800000000044,V
Vp,17.240328,0.24629518877120782,V
Te,3.1331775204740313,0.08034505470614185,eV
n,1.3948978969073004e+18,1.9039913088620964e+18,m-3
ne,4.857273109066173e+16,3868698803831891.5,m-3
ni,2.741223062723939e+18,5590375721601233.0,m-3
Ie_sat,0.0009389220668472469,7.380749612317155e-05,A
Ii_sat,-0.000534453923871462,3.474616530025378e-05,A
