parameter,median,mean,std,q16,q84,q2.25,q97.75
Vf,9.832523953600974,9.832523953600974,0.0,9.832523953600974,9.832523953600974,9.832523953600974,9.832523953600974
Vp,15.795586273636392,15.83377823820957,0.12381219427503469,15.711802091188549,15.992023230643303,15.70435005750472,16.070338408127604
Ie_sat,0.0017416743637914765,0.0017407824806191304,3.3258588721560724e-05,0.0016985416059084573,0.0017781006968125813,0.0016886376310106413,0.0017981553107744418
ne,8935905282717590.0,9089692941136426.0,340162323975048.7,8777685642305292.0,9596525692255358.0,8707644682998323.0,9638140588350956.0
ni,,,,,,,
Te,2.3896028086050634,2.3965049366904103,0.04376120519660031,2.3604672006723466,2.441812341256475,2.3394978591108413,2.470222483580536
p,1.8849723845728792,1.866861246586059,0.08899535997940593,1.7253064723096594,1.934424851377491,1.6989209784148867,1.9869395053405063
I1,-6.109250210968608e-06,-6.228746615152651e-06,5.433265462206472e-07,-7.019210311666447e-06,-5.7389580077281056e-06,-7.218689750383678e-06,-5.297478366812744e-06
I2,-5.163809819251283e-05,-4.8922261646647e-05,8.308130951112491e-06,-5.5889266510567026e-05,-3.715897702152845e-05,-6.497607833899916e-05,-3.548058169602561e-05
log10_sigma_I,-4.78883275526874,-4.7842776724884315,0.03500368457827171,-4.818649372643801,-4.753834607922759,-4.849726265690105,-4.705447732652649
sigma_I,1.6262592634956945e-05,1.6485757852943495e-05,1.3470936250517815e-06,1.5182756515969469e-05,1.762775357381892e-05,1.413428142792724e-05,1.970399170590693e-05
