,Value,Uncertainty,Unit
Vf,6.457817245887588,0.046426,V
Vp,15.447554499999999,0.07188097453951248,V
Te,2.4737795250901016,0.014480408909232733,eV
n,4.766195033327921e+16,5.33320036359887e+16,m-3
ne,7.542284285054645e+16,958735929219187.4,m-3
ni,4.788437699309155e-11,0.0,m-3
Ie_sat,0.0012954999999999998,1.602527123026722e-05,A
Ii_sat,-0.0007720014288663663,0.0002577336853896421,A
