Row,Value,Uncertainty,Unit
Vf,6.34524204714345,0.0509306666666666,V
Vp,11.0985076363636,0.566899606425764,V
Te,2.05215799809587,0.024642257583988,eV
n,2.02960344680879e+17,4.17891317122957e+17,m-3
ne,6.49183117093484e+15,NaN,m-3
ni,5.97479399444177e+17,0,m-3
Ie_sat,0.000674213222405329,NaN,A
Ii_sat,-0.000651008944819901,0.00014867671193014,A
